claim_id,manuscript_claim,dataset_or_source,analysis_or_evidence,directness,status,allowed_wording,prohibited_wording
C1,"The three HLA-A-homozygous Lee cases lie above the official mutation-count median and have early PFS events","Lee Supplementary Data 1/2 plus audited PFS","n=3 vs n=21 log-rank; exact fixed-size permutation; 12-month RMST",Discovery association,Supported,"post hoc discovery-cohort association","validated biomarker; independent mutation-HLA interaction"
C2,"Mutation burden and HLA-A effects cannot be separated in Lee n=24","Lee official patient-level table","2x2 burden-by-zygosity table; low-burden/homozygous cell n=0",Identifiability audit,Supported,"independent effects are not identifiable","high burden modifies the HLA-A effect"
C3,"Higher protein-altering mutation count is associated with shorter PFS in Miao/DFCI","ccrcc_dfci_2019 n=35","Cox HR per IQR 2.38; adjusted HR 2.47; LOO 35/35 same direction",Mutation-only external association,Supported,"independent mutation-only treated-cohort association","external validation of HLA or presentation"
C4,"Simple mutation/HLA associations are heterogeneous across RCC cohorts","Braun; JAVELIN; Chowell; SNiP-RCC; Nature Cancer; MSK","direct/proxy cohort-specific analyses and published findings",Cross-cohort boundary map,Supported,"treatment-context-dependent or heterogeneous associations","consistent multi-cohort validation"
C5,"Any-HLA homozygosity is associated with shorter OS within high-TMB MSK ccRCC","Samstein 2019 clinical plus MSK50K HLA n=138","conditional adjusted HR 4.83; BH-FDR 0.0196; LOO 80/80 nominally significant",Post hoc conditional association,Supported,"conditional high-TMB subgroup association","direct replication of Lee HLA-A state"
C6,"TMB-by-HLA interaction is not established in MSK","MSK n=138","best binary interaction nominal P=0.029; BH-FDR=0.293",Interaction test,Supported,"interaction did not survive multiplicity correction","HLA modifies the effect of TMB"
C7,"There is no global partner-allele advantage in the complete paired universe","63 position-consistent A*02:01-partner events","29/63 partner wins; binomial P=0.615",Unbiased computational audit,Supported,"no global partner advantage","partner allele rescues presentation"
C8,"C-terminal class is associated with paired allele allocation","63 paired MHCflurry rescoring events","basic 24/24 partner wins; aliphatic hydrophobic 1/33; class FDR",Computational mechanism,Supported,"terminal-residue-dependent predicted compatibility","natural presentation or T-cell recognition"
C9,"PXD017149 provides real ccRCC ligandome context","PXD017149","1457 all and 504 tumor-exclusive HLA-I ligands; terminal composition",Biological context only,Supported,"ligandome context","validation of patient mutant peptides"
C10,"APOBEC is not part of the supported main story","PASS Mutect2 SNVs and strict signature bootstrap","three legacy core cases SBS2 and SBS2+SBS13 detection 0/100",QC/falsification,Supported,"APOBEC signal was not stable and was excluded","APOBEC-high subgroup; SBS2-driven resistance"
